1	410 Pellentesque Av.	485-2752 Et Street	P.O. Box 752, 5996 Enim Rd.	Saukville	California	Ut@elementum.edu	5182-2409	semper cursus. Integer
2	Ap #981-9950 Turpis Ave	P.O. Box 384, 342 Etiam Road	P.O. Box 465, 8387 Habitant Ave	Abilene	ID	Maecenas.malesuada.fringilla@anteMaecenas.org	9953-1005	augue
3	P.O. Box 519, 5035 Elementum Rd.	Ap #401-524 Mattis St.	910-182 Nascetur Ave	Augusta	Nebraska	blandit.at@anteipsum.org	5715-8209	nascetur ridiculus mus. Proin
4	P.O. Box 260, 9915 Neque Avenue	805-9410 Enim Avenue	101-9289 Amet, Road	El Paso	Northwest Territories	ipsum@Nullam.org	4761-3415	risus. Donec egestas. Aliquam
5	Ap #256-5502 Nisl. Rd.	850 Nisi Rd.	941-8555 Mattis St.	Nampa	California	tellus@laoreetipsum.org	9374-1886	aliquet nec, imperdiet
6	Ap #192-5791 Lacus. Rd.	P.O. Box 970, 1162 Vehicula Street	P.O. Box 243, 9991 Eget Avenue	Yakima	Nova Scotia	ultrices.Vivamus@enimCurabiturmassa.ca	8742-7672	ac arcu. Nunc mauris.
7	304-1201 Aptent St.	226-1494 Nec, St.	Ap #875-8488 Sapien Rd.	San Marino	NU	euismod.in@laciniaorciconsectetuer.org	4481-7110	lorem, luctus
8	Ap #227-6724 Sit Rd.	696-5387 Lacinia Ave	P.O. Box 839, 2996 Mollis St.	Healdsburg	AK	nunc.risus@faucibusidlibero.edu	1713-1195	Praesent interdum
9	183 At, Avenue	P.O. Box 624, 8258 Ultrices St.	P.O. Box 638, 848 Sed Avenue	Christiansted	NU	Mauris.eu.turpis@convallisincursus.ca	9075-3282	lectus
10	3601 Ligula. St.	243-8411 Purus Street	966-9282 Malesuada Street	Saint Cloud	Connecticut	vitae.dolor.Donec@lacusEtiam.org	8950-2483	in, tempus
11	Ap #553-4241 Lacinia Rd.	8781 Quisque Av.	P.O. Box 467, 7463 Vitae Rd.	Clemson	PE	torquent.per.conubia@ornare.com	4927-3418	massa non ante bibendum ullamcorper.
12	141-7240 Nec, Av.	6141 Lobortis Rd.	Ap #155-2495 Auctor Avenue	Wisconsin Dells	Oklahoma	luctus.ipsum@duiin.ca	8206-2699	Fusce
13	Ap #514-8928 Nunc Street	100-6484 Nunc Road	6568 Sollicitudin Road	Calabasas	New Brunswick	vel@elit.org	4853-9402	ultrices
14	5328 Ut Avenue	4137 Laoreet Rd.	Ap #929-8367 Proin Rd.	Saratoga Springs	Saskatchewan	urna@morbitristique.edu	8968-2633	amet ornare lectus justo
15	7720 Lorem. Rd.	646-1767 Neque. Street	P.O. Box 161, 4255 Phasellus Road	Crown Point	ND	et.rutrum.eu@estacfacilisis.com	9272-9006	Quisque imperdiet, erat nonummy ultricies
16	P.O. Box 364, 3416 Nunc St.	Ap #483-1407 Quam Ave	5839 Nec Rd.	Evansville	NU	augue@Vivamusnibh.com	4029-9061	vitae, aliquet
17	Ap #982-504 Enim Rd.	Ap #627-3195 Ut Ave	7180 Justo St.	Cranston	MI	feugiat.tellus@Duisami.ca	8858-2437	lectus
18	P.O. Box 508, 5774 Imperdiet, Avenue	Ap #288-1082 Semper Road	969 Feugiat Street	Parker	NU	bibendum.Donec@eu.com	4361-5904	odio a purus. Duis elementum,
19	6780 Mollis. Street	Ap #774-9269 Montes, Avenue	Ap #271-9392 Dictum Road	Hutchinson	New Brunswick	non@Inat.org	9754-7940	semper. Nam tempor diam dictum
